SMILES,rt
[H]/N=C(/N)SCC,1.5583333333333333
[CH3:0][O:0][C:0](=[O:0])[N:0]1[CH2:0][CH2:0][N:0]([C:0](=[O:0])[CH2:0][c:0]2[cH:0][cH:0][c:0]([Cl:0])[c:0]([Cl:0])[cH:0]2)[C@H:0]([CH2:0][N:0]2[CH2:0][CH2:0][CH2:0][CH2:0]2)[CH2:0]1,11.463333333333333
CCN1CCC[C@@H]1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,9.845
O=c1[nH]ccc2c(O)cccc12,9.726666666666667
O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,9.65
CCN1CCc2nc(N)oc2CC1,1.3283333333333334
CC(C)(C)NC[C@H](O)COc1cccc2[nH]c(=O)[nH]c12,10.051666666666668
NCCc1ccc(S(=O)(=O)F)cc1,10.885
CNC(=O)c1cc2c(cn1)[nH]c1ccccc12,11.76
N[C@@H]1C[C@H]1c1ccccc1,10.35
CC(C)N[C@H](C)Cc1ccc(I)cc1,12.426666666666668
N[C@H]1CCN(O)C1=O,10.343333333333334
[CH3:0][O:0][c:0]1[cH:0][c:0]2[n:0][cH:0][n:0][c:0]([NH:0][c:0]3[cH:0][cH:0][cH:0][c:0]([Br:0])[cH:0]3)[c:0]2[cH:0][c:0]1[O:0][CH3:0],12.843333333333334
Nn1nnc2ccccc21,10.85
CCN(CC)C(=O)c1ccc(O)c(OC)c1,11.968333333333334
[OH:0][c:0]1[cH:0][c:0]2[c:0]([c:0]([Cl:0])[c:0]1[OH:0])[CH2:0][CH2:0][NH:0][CH2:0][C@H:0]2[c:0]1[cH:0][cH:0][cH:0][cH:0][cH:0]1,10.296666666666665
O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,13.421666666666665
CCCCOc1cc(C[C@@H]2CNC(=O)N2)ccc1OC,13.296666666666665
CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1,14.31
[Cl:0][c:0]1[cH:0][cH:0][c:0]([CH2:0][n:0]2[c:0]([CH2:0][N:0]3[CH2:0][CH2:0][CH2:0][CH2:0]3)[n:0][c:0]3[cH:0][cH:0][cH:0][cH:0][c:0]32)[cH:0][cH:0]1,12.504999999999999
COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1,12.213333333333333
CCCN(CCc1ccccc1)[C@H]1CCc2c(O)cccc2C1,12.796666666666665
CN1CCC(c2c[nH]c3ccc(O)cc23)CC1,1.57
Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1,10.713333333333333
CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,11.796666666666665
CN(C(=O)CCCOc1ccc2[nH]c(=O)ccc2c1)C1CCCCC1,14.004999999999999
[OH:0][Si@:0]([CH2:0][CH2:0][CH2:0][N:0]1[CH2:0][CH2:0][CH2:0][CH2:0][CH2:0]1)([c:0]1[cH:0][cH:0][c:0]([F:0])[cH:0][cH:0]1)[CH:0]1[CH2:0][CH2:0][CH2:0][CH2:0][CH2:0]1,14.421666666666665
